alloy_name,Ti,Al,V,Fe,Mo,Zr,Si,C,O,H,Cr,Cu,Nb,Sn,Ni,Ta,Co,B,Mn,ys,uts,elongation,AM,paper
Ti-6Al-4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,779,872,6,"DED, PBF",1-s2.0-S0026065716305045-main.pdf
Ti-10V-2Fe-3Al,83.8,5.25,9.26,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not specified,Not specified,Not specified,LDEP,1-s2.0-S0030402623000177-main.pdf
Ti-6Al-4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not specified,Not specified,Not specified,LPBF,1-s2.0-S0032591020312432-main.pdf
Ti-6Al-4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not specified,Not specified,Not specified,SLM,1-s2.0-S0042207X18300575-main.pdf
Ti-6Al-4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not specified,1072.5,5.  0,SLM,1-s2.0-S0167577X23017652-main.pdf
Ti-1023,83.8,5.25,9.26,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,657,927,19.65,SLM,1-s2.0-S0167577X25005506-main.pdf
Ti-6Al-4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not specified,971.5,12.5,Not specified,1-s2.0-S0261306909006529-main.pdf
Ti-6.5Al-3.5Mo-1.5Zr-0.3Si titanium alloy (TC11),85.82,11.22,0.0,0.0,1.7,0.77,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,932,1018,14.  7,LMD,1-s2.0-S0261306914008759-main.pdf
Ti-6Al-2Zr-1Mo-1V,87.27,10.32,0.91,0.0,0.48,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820,870,4.  8,LDEP,1-s2.0-S074964192200167X-main.pdf
Ti6Al4V,85.91,10.1,3.44,0.13,0.0,0.0,0.0,0.04,0.3,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not specified,1121,Not specified,SLM,1-s2.0-S0890695519307230-main.pdf
Ti–6.5Al–3.5Mo−1.5Zr–0.3Si (TC11),85.82,11.22,0.0,0.0,1.7,0.77,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,975,1033,6.8,LAM,1-s2.0-S092150931400464X-main (1).pdf
TC11,85.82,11.22,0.0,0.0,1.7,0.77,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,975,1033,6.  8,LAM,1-s2.0-S092150931400464X-main.pdf
